天,tiān,Day
气,qì,Air
很,hěn,Very
好,hǎo,Good
冷,lěng,Cold
吗,ma,Question
酒,jiǔ,Wine
热,rè,Hot
今,jīn,Now
真,zhēn,Truly
我,wǒ,I
你,nǐ,You
您,nín,You
他,tā,He
也,yě,Also
们,men,Them
忙,máng,Busy
作,zuò,Yesterday
呢,ne,Question par
早,zǎo,Early
啊,a,Question par
都,dōu,All
请,qǐng,Request/invi
坐,zuò,Sit
再,zài,Again
见,jiàn,See
她,tā,She
这,zhè,This
是,shì,Yes
张,zhāng,Name
华,huá,Flower
同,tóng,Same
志,zhì,Will
中,zhōng,Middle
国,guó,Country
谢谢,xièxiè,Thank
叫,jiào,To Call
老,lǎo,Elderly
北,běi,North
京,jīng,Capital
爱,ài,To Love
姓,xìng,Surname
王,wáng,King / name
名,míng,Given name
字,zì,Character
英,yīng,Flower/ Brave
小,xiǎo,Small
上,shàng,Top / Above
海,hǎi,Sea
姐,jiě,Elder Sister
那,nà,That
晚,wǎn,Late
做,zuò,Make
水,shuǐ,Water
喝,hē,To Drink
咖非,kāfēi,Coffee
只,zhǐ,Only
茶,chá,Tea
看,kàn,Look
电,diàn,Electricity (TV)
视,shì,To look at (TV)
文,wén,Written
书,shū,Book
喜欢,xǐhuān,Like
吃,chī,Eat
外,wài,Foreign
菜,cài,Vegetable / Dish
学,xué,Study
话,huà,Speech
法,fǎ,Law / France
得,dé,Morality / Germany
会,huì,Can / Know
说,shuō,Speak
常常,chángcháng,Often
饭,fàn,Rice / Food
应,yīng,Should
该,gāi,Should
点,diǎn,Dot / Point
儿,er,Child
想,xiǎng,To like
朋友,péngyǒu,Friend
